# S275JR CoTide c-channel beam
[Section]
[element_id]  [A]           [I_x]         [I_y]             [I_z]             [J_t]         
86            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
87            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
88            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
89            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
90            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
91            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
92            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
93            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
94            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
95            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
96            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
97            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
98            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
99            1307.55196    0.0           3.23400e-07       2.08769e-06       2.60673e-08   
